epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
129,25408.1,0.6956,0.58617,1.17249,0.75702,0.70933,0.73185,0.5701,0.7227,0.6363,1.11178,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,25599.3,0.69609,0.58616,1.1702,0.77859,0.70007,0.73688,0.57032,0.72221,0.63904,1.11203,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,25786.4,0.68835,0.57613,1.16629,0.78226,0.69756,0.73433,0.57063,0.72369,0.63971,1.11472,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,25973.2,0.68333,0.57351,1.16374,0.81095,0.68479,0.73464,0.56913,0.72055,0.63582,1.11184,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,26159,0.69405,0.58157,1.17332,0.7791,0.69733,0.74027,0.57308,0.7197,0.636,1.11207,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,26344.8,0.67944,0.57707,1.16226,0.7721,0.69947,0.73366,0.57417,0.71889,0.63945,1.11226,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,26530.1,0.67115,0.57311,1.15845,0.76554,0.70062,0.73721,0.57714,0.72224,0.64071,1.11619,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,26716.8,0.68581,0.5732,1.16533,0.78993,0.68171,0.73805,0.57656,0.72048,0.63947,1.1155,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,26902.4,0.67122,0.56403,1.15576,0.74529,0.71384,0.73596,0.57662,0.72004,0.63601,1.11662,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,27087.6,0.6862,0.57532,1.16151,0.75856,0.71324,0.74389,0.57798,0.71619,0.62977,1.11429,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,27272.9,0.67737,0.56067,1.16115,0.78218,0.69973,0.73946,0.57557,0.71545,0.63238,1.1111,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,27458.8,0.67737,0.55726,1.16302,0.79785,0.6799,0.73686,0.57269,0.71194,0.63399,1.10795,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,27645,0.67934,0.56218,1.16025,0.78615,0.68626,0.73718,0.57252,0.71543,0.63873,1.11042,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,27831.2,0.67795,0.56226,1.15695,0.79846,0.68114,0.739,0.57312,0.71615,0.63949,1.11191,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,28016.3,0.67129,0.55065,1.15634,0.79285,0.68918,0.73668,0.57092,0.71951,0.63546,1.11864,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,28202.1,0.67491,0.54086,1.15341,0.78805,0.68539,0.73735,0.57357,0.71868,0.63321,1.11731,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,28387.9,0.66047,0.54287,1.14255,0.78676,0.67315,0.73296,0.57075,0.72002,0.63183,1.12078,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,28573.8,0.67212,0.55346,1.15267,0.79046,0.67199,0.73384,0.56984,0.71857,0.63324,1.1187,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,28760,0.66481,0.54192,1.15469,0.77589,0.67475,0.73339,0.5709,0.71744,0.63473,1.11343,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,28946.4,0.65665,0.53046,1.14521,0.772,0.67665,0.73177,0.57037,0.71594,0.63669,1.11011,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,29132.4,0.65896,0.5454,1.14779,0.71244,0.73005,0.73321,0.57492,0.71503,0.64022,1.10757,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,29318.7,0.66059,0.54387,1.15178,0.71735,0.71952,0.73376,0.57518,0.71652,0.64745,1.10929,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,29506.1,0.65191,0.52759,1.14142,0.74502,0.70312,0.73545,0.57624,0.71937,0.65042,1.11215,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,29692,0.65591,0.53575,1.14576,0.74993,0.7004,0.73523,0.57467,0.71965,0.65195,1.11185,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,29878.3,0.65834,0.53721,1.15276,0.78393,0.68059,0.73536,0.57295,0.71742,0.65267,1.10949,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,30063.9,0.65851,0.53826,1.15153,0.78937,0.68168,0.73465,0.57148,0.71737,0.64849,1.10966,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,30250.7,0.64667,0.52747,1.14063,0.74195,0.72029,0.73791,0.57397,0.71876,0.64739,1.11176,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,30436.4,0.64809,0.52766,1.13568,0.80407,0.68125,0.7409,0.57727,0.72028,0.64327,1.11482,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,30622.3,0.63777,0.51117,1.13087,0.80649,0.67999,0.73984,0.57675,0.71924,0.64314,1.11618,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
