epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6410.06,0.94721,1.05872,1.37297,0.61899,0.52724,0.55981,0.41198,0.85733,0.8329,1.23185,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,6599.12,0.95674,1.06458,1.3833,0.59567,0.60676,0.59978,0.4356,0.86289,0.81592,1.23985,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,6788.17,0.93142,1.03068,1.36417,0.63596,0.55164,0.59523,0.43488,0.85893,0.82133,1.24112,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,6976.55,0.9415,1.02516,1.3775,0.59648,0.60385,0.61268,0.435,0.85165,0.8037,1.21747,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7161.25,0.93126,1.01901,1.36692,0.6458,0.55515,0.59414,0.43009,0.85251,0.82382,1.21536,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7345.78,0.9321,1.02121,1.36449,0.58736,0.61703,0.59451,0.43401,0.8505,0.8163,1.2151,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,7530.9,0.91532,1.01282,1.35911,0.64535,0.61118,0.61784,0.45597,0.82977,0.78533,1.21823,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,7715.5,0.9252,1.01796,1.35901,0.58414,0.62704,0.61396,0.44741,0.83621,0.80126,1.21629,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,7901.68,0.91304,0.98614,1.35771,0.64633,0.58888,0.63001,0.46152,0.82022,0.78447,1.1962,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,8086.25,0.90824,0.97268,1.34282,0.60323,0.64098,0.62208,0.45991,0.81515,0.74614,1.19231,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,8273.35,0.89521,0.98771,1.33722,0.59437,0.65793,0.61998,0.45801,0.81571,0.76858,1.19787,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,8463.98,0.90299,0.96166,1.3435,0.63888,0.64253,0.62375,0.45721,0.8242,0.77984,1.1929,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,8657.15,0.89265,0.95029,1.33446,0.66183,0.66703,0.64617,0.47557,0.80142,0.73499,1.18051,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,8901.33,0.89694,0.92842,1.32618,0.62764,0.66342,0.63738,0.47082,0.83082,0.74662,1.20077,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,9125.33,0.88724,0.94968,1.33483,0.60245,0.6426,0.63731,0.46702,0.82171,0.74173,1.19435,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,9335.27,0.89068,0.94468,1.33121,0.64743,0.66302,0.64636,0.47435,0.80843,0.74021,1.18744,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,9518.89,0.89802,0.9447,1.33497,0.6172,0.65667,0.63307,0.47379,0.80144,0.75442,1.18023,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,9699.61,0.88082,0.90906,1.31676,0.65531,0.6407,0.64381,0.47833,0.80415,0.74268,1.18569,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,9902.34,0.87787,0.91539,1.31888,0.59088,0.62799,0.62147,0.4676,0.7855,0.7222,1.1701,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,10089.9,0.88001,0.9187,1.32215,0.60353,0.62886,0.63095,0.47212,0.78798,0.71549,1.17157,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,10271.2,0.8713,0.90792,1.31152,0.61775,0.66954,0.65143,0.48119,0.79697,0.73155,1.1672,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,10452.6,0.8678,0.90063,1.307,0.66152,0.59178,0.63114,0.46791,0.80024,0.74205,1.17357,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,10634.6,0.87378,0.89847,1.31476,0.65891,0.60477,0.64041,0.4774,0.77702,0.71991,1.15876,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,10816.8,0.86536,0.88784,1.30884,0.64179,0.61893,0.64699,0.48365,0.79926,0.74024,1.18295,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,10999.5,0.86257,0.87974,1.31039,0.65489,0.64718,0.65471,0.48885,0.79245,0.70666,1.16359,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,11182,0.84365,0.86199,1.29299,0.66909,0.6683,0.66978,0.50387,0.77101,0.68383,1.1492,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,11364.5,0.85175,0.87651,1.29895,0.69671,0.61979,0.6555,0.49207,0.7687,0.69535,1.14874,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,11545.5,0.84137,0.85692,1.29771,0.68127,0.62471,0.67825,0.51042,0.756,0.69435,1.13313,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,11727.4,0.86011,0.85482,1.30117,0.70394,0.6297,0.67989,0.51696,0.77395,0.70658,1.15804,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,11909.5,0.83759,0.84913,1.28335,0.6874,0.66018,0.67504,0.50353,0.77525,0.71058,1.15347,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,12091.9,0.83667,0.84936,1.29187,0.61863,0.64595,0.64367,0.48772,0.77444,0.70853,1.14666,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,12272.5,0.83743,0.85052,1.28825,0.63914,0.70018,0.67897,0.51125,0.76077,0.68677,1.14541,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,12453.7,0.84432,0.84198,1.28807,0.74408,0.63036,0.69734,0.52248,0.76538,0.67074,1.14052,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,12635,0.83925,0.82798,1.29057,0.62669,0.70631,0.6866,0.51782,0.7583,0.67729,1.13706,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,12816.7,0.82253,0.81642,1.27282,0.68175,0.67107,0.68759,0.51818,0.77692,0.6748,1.1607,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,12998.7,0.82628,0.81016,1.27237,0.72043,0.65385,0.69587,0.52734,0.75982,0.68704,1.13302,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,13181,0.81551,0.8149,1.27859,0.6949,0.67758,0.70247,0.53482,0.75071,0.66284,1.12572,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,13362.9,0.83119,0.81233,1.27778,0.67994,0.68326,0.69113,0.52511,0.76244,0.67256,1.13096,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,13545.4,0.81603,0.79105,1.26448,0.65771,0.68907,0.67813,0.51899,0.76004,0.67623,1.14239,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,13728.1,0.81606,0.80495,1.26795,0.68346,0.69192,0.6982,0.52812,0.77783,0.66941,1.14953,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,13960.9,0.82623,0.82226,1.2704,0.69417,0.66892,0.69589,0.52986,0.77556,0.66284,1.15012,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
